Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1001984;ZSTO;CARETA PARA SOLDADOR X UN;MR01;0368;A1E4C1;V1;3;HB;5;3;0;0;0;0;C27;FERRETERIA MR01;37584,03;;;SOLDADURA;ACCESORIOS;9-FRAGIL;0,545;0;KG;15640;15;37584,03;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1001985;ZSTO;VIDRIOP CARETASOLDADOR50X105MMINCOLORO;MR01;0368;A1H2C5;V1;350;HB;600;140;0;0;0;0;C27;FERRETERIA MR01;37461,2;;;SOLDADURA;ACCESORIOS;9-FRAGIL;0,025;0;KG;10,5;15;37461,11;;1;;;;;1;;
4;04-MAYOR A STOCK MAXIMO;1001988;ZSTO;ELECTRODO AWS6013 X 3,25MM X KG;MR01;0368;B1E2;V1;7;HB;11;39;0;0;0;0;C27;FERRETERIA MR01;242541,39;CONARCO;AWS6013;SOLDADURA;ELECTRODOS;7-PESADO;1;0;KG;336,569;15;242541,48;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001989;ZSTO;ELECTRODO 7015 X 2,50 MM X KG;MR01;0368;B1E2;V1;2;HB;3;50;0;0;0;0;C27;FERRETERIA MR01;23745,5;CONARCO;AWS7015;SOLDADURA;ELECTRODOS;7-PESADO;1;0;KG;171,719;15;23745,51;;;;;1;;1;;
4;04-MAYOR A STOCK MAXIMO;1001993;ZSTO;ELECTRODO AWS7018 X 3,25 MM X KG;MR01;0368;B1E2;V1;19;HB;38;64;0;0;0;0;C27;FERRETERIA MR01;604051,84;CONARCO;AWS7018;SOLDADURA;ELECTRODOS;7-PESADO;1;0;KG;336,569;15;604051,97;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1001994;ZSTO;ELECTRODO AWS7018 X 2,50 MM X KG;MR01;0368;B1D2;V1;14;HB;18;18;0;0;0;0;C27;FERRETERIA MR01;226844,82;CONARCO;AWS7018;SOLDADURA;ELECTRODOS;7-PESADO;1;0;KG;336,569;15;226844,74;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002000;ZSTO;CAMISA JEAN T.38 C LOGO;MR01;0368;A1G3C1;V1;2;HB;3;3;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;51575,79;;;ROPA;INDUMENTARIA;8-VARIOS;0,425;0;KG;520;30;51575,8;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002001;ZSTO;CAMISA JEAN T.40 C LOGO;MR01;0368;A1G3C3;V1;4;HB;8;6;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;105398,34;;;ROPA;INDUMENTARIA;8-VARIOS;0,438;0;KG;565,5;30;105398,31;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1002002;ZSTO;CAMISA JEAN T.42 C LOGO;MR01;0368;A1G3C8;V1;7;HB;9;5;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;88354,3;;;ROPA;INDUMENTARIA;8-VARIOS;0,492;0;KG;560;30;88354,3;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002003;ZSTO;CAMISA JEAN T.44 C LOGO;MR01;0368;A1G3C2;V1;8;HB;12;10;0;0;0;0;C28;SEGURIDAD/ROPA/EPP;176571,6;;;ROPA;INDUMENTARIA;8-VARIOS;0,45;0;KG;536,5;30;176571,64;;;;1;;;1;;
