CLIENTE;CLI;CLASE DE DOC;NRO. VA01/VA21;POS VA01/VA21;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;DESCRIPCION ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA ENTREGA ESPERADA;FECHA EMISION SOLPED;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;FECHA APROBACION SOLPED;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;GRUPO DE COMPRA OC;FECHA RECEPCION;NRO POSICION RECEPCION 1;Q RECEP. DE OC;ALMACEN RECEPCION 1;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;FECHA SELLO;OPERADOR PICKING;FECHA PICKING;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA CONTABILIZACION VL;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA DE CARGA;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;NRO. CONSUMO;CANT. CONSUMO;FECHA CONSUMO;FECHA CUMPLIMIENTO FINAL UNIFICADA;dTIEMPO DE APROBACION SOLPED;dCOLOCACION OC;dTIEMPOS DE APROBACION OC;dENTREGA VA01/OC;dPRIMERA RECEPCIÓN - ENTREGA;dCAMION;Source.Name;dTRASLADO;dENTREGA AL CLIENTE;ENTREGADOS FT;dTIEMPO EMISION / ENTREGA;dPLAZO DE ENTREGA;dREGISTRO DE RECEPCION;dPICKING;dEMBALAJE;DIF_ENTREGA_SELLO;dALMACEN;dEXPEDICION;dREGISTRO DE ALMACENAMIENTO;OPERADOR PICKING ROSARIO;OPERADOR PICKING SJ;CARACTER DE GC;CARACTER ALMACEN RECEPCION 1;LIBERACION SOLPED CS;COLOCACION OC CS;LIBERACION OC CS;ENTREGA DEL PROVEEDOR CS;PLAZO DE ENTREGA EXCEDIDO CS;EXPEDICION CS;COLOCACION OC SEDE;LIBERACION OC SEDE;ENTREGA DEL PROVEEDOR SEDE;PLAZO DE ENTREGA EXCEDIDO SEDE;REGISTRO DE ALMACENAMIENTO OBRA;TRASLADO ALMACEN OBRA;TRASLADO CS;ALMACEN ROSARIO;ALMACEN SAN JUAN;REGISTRO DE RECEPCION ALMACEN ROSARIO;REGISTRO DE RECEPCION ALMACEN SAN JUAN;PICKING ALMACEN ROSARIO;PICKING ALMACEN SAN JUAN;EMBALAJE ALMACEN ROSARIO;EMBALAJE ALMACEN SAN JUAN;EXPEDICION ALMACEN OBRA;MES ENTREGA;COLOCACION OC EQUIPOS;LIBERACION OC EQUIPOS;ENTREGA DEL PROVEEDOR EQUIPOS;PLAZO DE ENTREGA EXCEDIDO EQUIPOS;COLOCACION OC AGV;LIBERACION OC AGV;ENTREGA DEL PROVEEDOR AGV;PLAZO DE ENTREGA EXCEDIDO AGV;ALMACEN OBRA;dPREPARACION;FECHAENTREGAMUYCERCANA;dTRANSPORTEyALM;PREPARACION;TRANSPORTEyALM;EQUIPOS MENORES;CADENA DE SUMINISTRO;ALMACÉN ;BLEN;COMPRAS;COMPRAS EQUIPOS;COMPRAS AGV;0
00223 Comp Amb Santa Fe;00223;ZPAN;1000060326;20;50017134;;0;;;;PBASILIO;1015947;1;Materiales genericos;CUMPLIDO;AT511599-SENSOR VENTILADOR;MR01;11;16/1/2025;10113547;20;1;5/2/2025;16/1/2025;4500092084;30;2001;1;17/1/2025;24/1/2025;29/1/2025;;5/2/2025;AGRONORTE S.R.L.;1;0;0;1;5000124110;C03;7/2/2025;2;1;2001;FGORGONA;;8000064378;1;1;7/2/2025;FGORGONA;7/2/2025;8766;3BULTOS 223 AL;ALANDAVIDEA;24/2/2025;4900306871;1;PBASILIO;11/2/2025;5/3/2025;26/2/2025;4900306873;1;5/3/2025;26/2/2025;1;7;5;-739277;0;13;;2;7;1;28;-11;0;0;4;-2;4;13;7;1;0;EQUIPOS;TRANSITORIO ROSARIO;;;;;;1;;;;;1;;;;;;;;;;;;febrero;2;3;2;11;;;;;;;;;;;;1;;1;;1;;3
00223 Comp Amb Santa Fe;00223;ZPAN;1000060327;10;50017135;;0;;;;PBASILIO;1015947;4;Materiales genericos;CUMPLIDO;AT475457-RODILLO SUPERIOR;MR01;11;16/1/2025;10113548;10;1;5/2/2025;16/1/2025;4500092084;10;2001;1;17/1/2025;24/1/2025;29/1/2025;;5/2/2025;AGRONORTE S.R.L.;4;0;0;4;5000127029;C03;12/3/2025;1;3;2001;ALANDAVIDEA;;8000064377;4;3;12/3/2025;FGORGONA;7/2/2025;8766;3BULTOS 223 AL;ALANDAVIDEA;24/2/2025;4900316029;4;PBASILIO;11/2/2025;5/3/2025;3/4/2025;4900306864;4;5/3/2025;3/4/2025;1;7;5;-739277;0;13;;38;0;1;28;-11;0;-33;4;-35;-29;13;-29;1;0;EQUIPOS;TRANSITORIO ROSARIO;;;;;;1;;;;;;33;1;;;;;;;;;;febrero;2;3;35;11;;;;;;;;;;;;;;1;;1;;2
00223 Comp Amb Santa Fe;00223;ZPAS;1000061030;10;Pedido Filtro;;0;;;;PBASILIO;1000007;1;Materiales Stock;CUMPLIDO;ELEMENTO FILTRO DE CABINA;MR01;11;28/1/2025;;0;0;14/2/2025;;;0;;0;;;;;;;0;0;0;0;;;;1;0;0223;;;8000064361;1;2;;PAPPELLA;10/2/2025;8766;3BULTOS 223 AL;ALANDAVIDEA;24/2/2025;4900306886;1;PBASILIO;11/2/2025;5/3/2025;26/2/2025;;0;;26/2/2025;0;0;0;0;0;13;;2;7;1;14;;;13;1;;14;13;7;1;0;PAÑOL;PROYECTO;;;;;;1;;;;;1;;;6;;;;6;;;;;febrero;;;;;;;;;6;;;;;;;1;1;1;;;;3
00223 Comp Amb Santa Fe;00223;ZPAN;1000061239;10;GEODESECADOR;;2;;;;PBASILIO;1011269;10;Materiales usuales;CUMPLIDO;GEODESECADOR SECPLUS PP7 P10MT L13.3MT;MR01;1;30/1/2025;10114590;10;1;28/2/2025;30/1/2025;4500092896;10;0223;1;11/2/2025;5/2/2025;12/2/2025;20/2/2025;25/2/2025;CORIPA S.A;10;0;0;10;5000127751;C12;20/3/2025;1;1;0223;PBASILIO;;;0;0;20/3/2025;;;;;;;;0;;;;;;0;;20/3/2025;12;-6;7;-7;28;0;;;0;1;29;7;0;;;-20;0;;;0;0;SEDE;PROYECTO;10;;;;;;;5;20;;;;;;;;;;;;;;febrero;;;;;;;;;;;;;;;;1;;;1;;;2
00223 Comp Amb Santa Fe;00223;ZPAN;1000061384;10;Pedido Pañol;;0;;;;PBASILIO;1012722;4;Materiales genericos;CUMPLIDO;CARTUCHO LASER TONER NEGRO MOD CE285A;MR01;11;3/2/2025;10114744;10;1;24/2/2025;3/2/2025;4500093537;10;2001;1;10/2/2025;14/2/2025;14/2/2025;21/2/2025;21/2/2025;ERAUSQUIN SEBASTIAN PABLO;4;0;0;4;5000125647;C17;24/2/2025;1;1;2001;FGORGONA;;8000065386;4;1;24/2/2025;FGORGONA;24/2/2025;;;;27/2/2025;4900306843;4;PBASILIO;;5/3/2025;27/2/2025;4900306845;4;5/3/2025;27/2/2025;7;4;0;8;3;0;;0;6;1;9;-8;0;0;;0;0;;6;1;0;SEDE;TRANSITORIO ROSARIO;5;;;;;;;;;8;1;;;;;;;;;;;;febrero;;;;;;;;;;;;;;;;1;;;1;;;2
00223 Comp Amb Santa Fe;00223;ZPAN;1000061384;30;Pedido Pañol;;0;;;;PBASILIO;1012896;2;Materiales genericos;CUMPLIDO;PEGAMENTO P/CAMARAS PRECUREX X250ML;MR01;11;3/2/2025;10114744;30;1;24/2/2025;3/2/2025;4500092820;30;2001;1;3/2/2025;5/2/2025;5/2/2025;24/2/2025;14/2/2025;PASTORI MAXIMILIANO ANDRES;2;0;0;2;5000124172;C27;7/2/2025;1;1;2001;FGORGONA;;8000064401;2;1;6/2/2025;FGORGONA;7/2/2025;8766;3BULTOS 223 AL;ALANDAVIDEA;24/2/2025;4900306880;2;PBASILIO;11/2/2025;5/3/2025;26/2/2025;4900306883;2;5/3/2025;26/2/2025;0;2;0;11;-18;13;;2;7;1;9;-11;1;0;4;18;5;13;7;1;0;SEDE;TRANSITORIO ROSARIO;;;;;;1;;;;11;1;;;1;;;;;;3;;;febrero;;;;;;;;;;;;;;;;1;1;1;1;;;4
00223 Comp Amb Santa Fe;00223;ZPAN;1000061384;40;Pedido Pañol;;0;;;;PBASILIO;1012679;4;Materiales genericos;CUMPLIDO;PANTALON TRABAJO T.38 S PEDIDO;MR01;11;3/2/2025;10114744;40;1;24/2/2025;3/2/2025;4500093072;10;2001;1;3/2/2025;7/2/2025;7/2/2025;14/2/2025;14/2/2025;NUEVA REGINA S.R.L.;4;0;0;4;5000125020;C28;18/2/2025;1;1;2001;LNASUTI;;8000064960;4;1;18/2/2025;LNASUTI;18/2/2025;8878;1 223 WP;WPUCHETA;24/2/2025;4900306857;4;PBASILIO;18/2/2025;5/3/2025;26/2/2025;;0;;26/2/2025;0;4;0;1;4;6;;2;7;1;9;-1;0;0;0;6;0;6;7;0;0;SEDE;TRANSITORIO ROSARIO;;;;;;1;;;;1;1;;;;;;;;;;;;febrero;;;;;;;;;;;;;;;;1;;1;1;;;3
00223 Comp Amb Santa Fe;00223;ZPAS;1000061385;10;MM;;0;;;;PBASILIO;1001871;22;Materiales Stock;CUMPLIDO;RESMA DE HOJA A4 70GR. X UN;MR01;11;3/2/2025;;0;0;24/2/2025;;;0;;0;;;;;;;0;0;0;0;;;;1;0;0223;;;8000064060;22;2;;PAPPELLA;4/2/2025;8704;1 223 WP;WPUCHETA;24/2/2025;4900306888;22;PBASILIO;6/2/2025;5/3/2025;26/2/2025;;0;;26/2/2025;0;0;0;0;0;18;;2;7;1;9;;;1;2;;3;18;7;1;0;PAÑOL;PROYECTO;;;;;;1;;;;;1;;;;;;;;;;;;febrero;;;;;;;;;;;;;;;;1;;1;;;;2
00223 Comp Amb Santa Fe;00223;ZPAS;1000061385;20;MM;;0;;;;PBASILIO;1001955;1;Materiales Stock;CUMPLIDO;SELLADOR DE SILICONA TRANSP;MR01;11;3/2/2025;;0;0;24/2/2025;;;0;;0;;;;;;;0;0;0;0;;;;2;0;0223;;;8000064060;1;2;;PAPPELLA;4/2/2025;8704;1 223 WP;WPUCHETA;24/2/2025;4900306888;1;PBASILIO;6/2/2025;5/3/2025;26/2/2025;;0;;26/2/2025;0;0;0;0;0;18;;2;7;1;9;;;1;2;;3;18;7;1;0;PAÑOL;PROYECTO;;;;;;1;;;;;1;;;;;;;;;;;;febrero;;;;;;;;;;;;;;;;1;;1;;;;2
00223 Comp Amb Santa Fe;00223;ZPAS;1000061385;30;MM;;0;;;;PBASILIO;1001954;1;Materiales Stock;CUMPLIDO;SELLADOR ALTA TEMPERATURA;MR01;11;3/2/2025;;0;0;24/2/2025;;;0;;0;;;;;;;0;0;0;0;;;;3;0;0223;;;8000064060;1;2;;PAPPELLA;4/2/2025;8704;1 223 WP;WPUCHETA;24/2/2025;4900306888;1;PBASILIO;6/2/2025;5/3/2025;26/2/2025;;0;;26/2/2025;0;0;0;0;0;18;;2;7;1;9;;;1;2;;3;18;7;1;0;PAÑOL;PROYECTO;;;;;;1;;;;;1;;;;;;;;;;;;febrero;;;;;;;;;;;;;;;;1;;1;;;;2
