CLIENTE;NRO. VA01/VA21;POS VA01/VA21;CLASE DE DOC;REF.CLIENTE;DOC. REF;PRIORIDAD;MOT. RECHAZO;INDICADOR DE BLOQUEO;FECHA DE BLOQUEO;OPERADOR DE VA;CODIGO ITEM;DESCRIPCION ITEM;CANTIDAD SOLICITADA;TIPO DE ITEM;ESTADO ITEM;CENTRO;PLAZO LOGISTICO;FECHA DE EMISION NECESIDAD;FECHA ENTREGA ESPERADA;MES ENTREGA;NRO. SOLPED;POS. SOLPED;REPARTOS;FECHA EMISION SOLPED;FECHA APROBACION SOLPED;GRUPO DE COMPRA;NRO. OC;POS. OC;ALMACEN OC;Q CANT. OC;OPERADOR OC;FECHA EMISION OC;FECHA APROBACION FINAL OC;PRIMERA FECHA ENTREGA OC;FECHA ENTREGA OC;GRUPO DE COMPRA OC;PROVEEDOR;ADJUDICADO EN OC;CANTIDAD PENDIENTE DE ADJUDICAR;CANTITAD TOTAL PENDIENTE RECEP.;CANTIDAD TOTAL RECEPCIONADA;NRO. RECEPCION;FECHA RECEPCION;ALMACEN RECEPCION 1;NRO POSICION RECEPCION 1;Q RECEP. DE OC;FECHA SELLO;OPERADOR RECEPCION;TEXTO COMENTARIO;NRO. VL;CANTIDAD PICKING;Q VL;OPERADOR PICKING;FECHA PICKING;FECHA CONTABILIZACION VL;NRO DE CARGA;TXT CARGA;RESPONSABLE DE CARGA;FECHA DE CARGA;NRO. ALMACENAMIENTO;CANTIDAD ALMACENADA;OPERADOR ALMACENAMIENTO;FECHA ALMACENAMIENTO (LOGIN);FECHA DE ALMACENAMIENTO SELLO;FECHA CUMPLIMIENTO FINAL UNIFICADA;COMPROMETIDOS;ENTREGADOS;NO ENTREGADOS;NO ENTREGADOS CRITICOS;NO ENTREGADOS NO CRITICOS;ENTREGADOS AT;ENTREGADOS AT CRITICOS;ENTREGADOS AT NO CRITICOS;ENTREGADOS FT;ENTREGADOS FT CRITICOS;ENTREGADOS FT NO CRITICOS;DIAS DE DEMORA;CLASIFICACION;Año;Personalizado;Valor objetivo cumpli;Demora Max Objetivo;Demora-7;DemoraMaxObjetivo;CLASIFICACION 2;Columna1;Columna2;CONCATENA;BUSCA EL ALMACEN ;Vacío
00223 Comp Amb Santa Fe;1000059336;70;ZPAS;Filtros;;0;;;;PBASILIO;1002613;FILTRO AIRE;2;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;7;0;;;;8000062070;2;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;2;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002613;0;1002613223;223;
00223 Comp Amb Santa Fe;1000059336;80;ZPAS;Filtros;;0;;;;PBASILIO;1002623;FILTRO AIRE 2 XUN;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;8;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002623;0;1002623223;223;
00223 Comp Amb Santa Fe;1000059336;90;ZPAS;Filtros;;0;;;;PBASILIO;1002660;FILTRO HIDRAULICO;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;9;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002660;0;1002660223;223;
00223 Comp Amb Santa Fe;1000059336;100;ZPAS;Filtros;;0;;;;PBASILIO;1002697;FILTROAIRE CABINA;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;10;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002697;0;1002697223;223;
00223 Comp Amb Santa Fe;1000059336;110;ZPAS;Filtros;;0;;;;PBASILIO;1002717;FILTRO BLOW BY;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;11;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002717;0;1002717223;223;
00223 Comp Amb Santa Fe;1000059336;120;ZPAS;Filtros;;0;;;;PBASILIO;1002781;FILTRO AIRE;2;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;12;0;;;;8000062070;2;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;2;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002781;0;1002781223;223;
00223 Comp Amb Santa Fe;1000059336;130;ZPAS;Filtros;;0;;;;PBASILIO;1002819;FILTRO CABINA FIAT STRALIS 420;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;14;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1002819;0;1002819223;223;
00223 Comp Amb Santa Fe;1000059336;140;ZPAS;Filtros;;0;;;;PBASILIO;1003220;FILTRO DE AIRE PRIMARIO;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;15;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1003220;0;1003220223;223;
00223 Comp Amb Santa Fe;1000059336;150;ZPAS;Filtros;;0;;;;PBASILIO;1003221;FILTRO DE AIRE SECUNDARIO;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;16;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1003221;0;1003221223;223;
00223 Comp Amb Santa Fe;1000059336;160;ZPAS;Filtros;;0;;;;PBASILIO;1003222;FILTRO DE COMBUSTIBLE;1;Materiales Stock;CUMPLIDO;MR01;11;26/12/2024;16/1/2025;enero;;0;0;;;;;0;;0;;;;;;;;0;0;0;0;;;0223;17;0;;;;8000062070;1;2;PAPPELLA;27/12/2024;30/12/2024;8191;3 BULTOS LN 223;LNASUTI;27/12/2024;4900289860;1;PBASILIO;3/1/2025;2/1/2025;2/1/2025;1;1;0;0;0;1;0;1;0;0;0;;PAÑOL;2025;Período Contable;0,75;7;;7;PAÑOL;1003222;0;1003222223;223;
