Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
2;02-MENOR A PUNTO DE PEDIDO;1016940;ZSSD;DESODORANTE EN AEROSOL;MM01;0376;GAV.LUBR.;V1;18;HB;36;11;0;0;0;0;C17;INSUMOS A;25666,19;;;LIMPIEZA;LIMPIEZA /SEGURIDAD;?;0;0;KG;0;0;25666,18;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016941;ZSSD;SECADOR DE PISO 60CM;MM01;0376;N2;V1;5;HB;10;6;0;0;0;0;C17;INSUMOS A;22726,08;;;LIMPIEZA;INSUMOS;?;0;0;KG;0;0;22726,05;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016942;ZSSD;BIBLIORATO PVC A4 LOMO ANCHO;MM01;0376;A3;V1;10;HB;30;11;0;0;0;0;C17;INSUMOS A;35704,35;;;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;35704,37;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1016946;ZSSD;TALO LIBRETA DE MAQUINISTA 50H X DUPLICA;MM01;0376;J2;V1;200;HB;500;177;0;0;0;0;C17;INSUMOS A;1451400;;;LIBRERIA;TALONARIOS;?;0;0;KG;0;0;1451400;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016950;ZSSD;ARRANCAMOTOR AEROSOL WURTH START-RAPID;MM01;0376;GAV.LUBR.;V1;18;HB;36;27;0;0;0;0;C13;FERRETERÍA MM01;609485,58;;;FERRETERIA;INSUMOS;?;0;0;KG;0;0;609485,46;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016955;ZSSD;SOGA NAUTICA 10MM;MM01;0376;B1;V1;200;HB;500;490;0;0;0;0;C13;FERRETERÍA MM01;448335,3;;MÚLT. 100 MTS;FERRETERIA;ACCESORIOS;?;0;0;KG;0;0;448336,39;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016957;ZSSD;SEPARADOR A4 PLASTICO C LENGUETAS;MM01;0376;B2;V1;24;HB;48;35;0;0;0;0;C17;INSUMOS A;56327,6;;MÚLT. 12U;LIBRERIA;PAPEL;?;0;0;KG;0;0;56327,73;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016958;ZSSD;SEPARADOR A4 PLASTICO A-Z PLASTICO;MM01;0376;A2;V1;10;HB;30;24;0;0;0;0;C17;INSUMOS A;73602;;MÚLT. 5U;LIMPIEZA;LIMPIEZA /SEGURIDAD;?;0;0;KG;0;0;73601,88;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1016960;ZSSD;RESALTADOR VERDE PUNTA CHANFLEADA;MM01;0376;A2;V1;20;HB;50;15;0;0;0;0;C17;INSUMOS A;5180,7;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;5180,76;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016961;ZSSD;RESALTADOR ROSA PUNTA CHANFLEADA;MM01;0376;A2;V1;20;HB;50;25;0;0;0;0;C17;INSUMOS A;8445,5;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;8445,56;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1016962;ZSSD;RESALTADOR NARANJA PUNTA CHANFLEADA;MM01;0376;A2;V1;20;HB;50;15;0;0;0;0;C17;INSUMOS A;5815,5;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;5815,57;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016963;ZSSD;RESALTADOR CELESTE PUNTA CHANFLEADA;MM01;0376;A2;V1;20;HB;50;30;0;0;0;0;C17;INSUMOS A;11465,4;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;11465,27;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016964;ZSSD;RESALTADOR AMARILLO PUNTA CHANFLEADA;MM01;0376;A2;V1;20;HB;50;34;0;0;0;0;C17;INSUMOS A;13796,86;;MÚLT. 10U;LIBRERIA;ESCRITURA;?;0;0;KG;0;0;13796,74;;;;1;;;1;;
2;02-MENOR A PUNTO DE PEDIDO;1016965;ZSSD;PORTABLOCK ACRILICO C CLIP SUPERIOR;MM01;0376;B2;V1;15;HB;30;7;0;0;0;0;C17;INSUMOS A;28347,06;;;LIBRERIA;ACCESORIOS;?;0;0;KG;0;0;28347,09;;1;;;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016966;ZSSD;PICO PUNTA Y PALA;MM01;0376;F1;V1;5;HB;10;8;0;0;0;0;C13;FERRETERÍA MM01;291700,32;;;FERRETERIA;HERRAMIENTA MANUAL;?;0;0;KG;0;0;291700,34;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016967;ZSSD;PERFORADORA MET MIT 40-45 HJ C REGLA;MM01;0376;A2;V1;5;HB;10;8;0;0;0;0;C17;INSUMOS A;150249,12;;;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;150249,08;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016968;ZSSD;PERFORADORA MET MIT 20-25 HJ C REGLA;MM01;0376;B2;V1;5;HB;10;8;0;0;0;0;C17;INSUMOS A;46128,8;;;LIBRERIA;LIBRERIA;?;0;0;KG;0;0;46128,77;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1016969;ZSSD;NOTAS ADHESIVAS (POST IT) 76X76 MM;MM01;0376;A2;V1;24;HB;48;26;0;0;0;0;C17;INSUMOS A;17440,54;;MÚLT. 12U;LIBRERIA;PAPEL;?;0;0;KG;0;0;17440,58;;;;1;;;1;;
